C_gbcode,C_source,N_pinyin,N_local,H,A,change,P,fromdate,todate
110100,GB,Beijing shixiaqu,Beijing shixiaqu,1,1,,10,19820101,19941231
110101,GB,Beijing: Dongcheng qu,Beijing: Dongcheng qu,1,2,,0,19820101,19941231
110102,GB,Beijing: Xicheng qu,Beijing: Xicheng qu,1,2,,0,19820101,19941231
110103,GB,Beijing: Chongwen qu,Beijing: Chongwen qu,1,2,,0,19820101,19941231
110104,GB,Beijing: Xuanwu qu,Beijing: Xuanwu qu,1,2,,0,19820101,19941231
110105,GB,Beijing: Chaoyang qu,Beijing: Chaoyang qu,1,2,,0,19820101,19941231
110106,GB,Beijing: Fengtai qu,Beijing: Fengtai qu,1,2,,0,19820101,19941231
110107,GB,Beijing: Shijingshan qu,Beijing: Shijingshan qu,1,2,,0,19820101,19941231
110108,GB,Beijing: Haidian qu,Beijing: Haidian qu,1,2,,0,19820101,19941231
110109,GB,Beijing: Mentougou qu,Beijing: Mentougou qu,1,2,,0,19820101,19941231
110110,GB,Beijing: Yanshan qu,Beijing: Yanshan qu,1,2,,0,19820101,19861110
110111,GB,Beijing: Fangshan qu,Beijing: Fangshan qu,1,2,CNT,0,19861111,19941231
110200,GB,Beijing shixiaxian,Beijing shixiaxian,0,0,,10,19820101,19941231
110221,GB,Changping,Changping,1,5,,0,19820101,19941231
110222,GB,Shunyi,Shunyi,1,5,,0,19820101,19941231
110223,GB,Tong xian,Tong xian,1,5,,0,19820101,19941231
110224,GB,Daxing,Daxing,1,5,,0,19820101,19941231
110225,GB,Fangshan,Fangshan,1,5,,0,19820101,19861110
110226,GB,Pinggu,Pinggu,1,5,,0,19820101,19941231
110227,GB,Huairou,Huairou,1,5,,0,19820101,19941231
110228,GB,Miyun,Miyun,1,5,,0,19820101,19941231
110229,GB,Yanqing,Yanqing,1,5,,0,19820101,19941231
120100,GB,Tianjin shixiaqu,Tianjin shixiaqu,1,1,,10,19820101,19941231
120101,GB,Tianjin: Heping qu,Tianjin: Heping qu,1,2,,0,19820101,19941231
120102,GB,Tianjin: Hedong qu,Tianjin: Hedong qu,1,2,,0,19820101,19941231
120103,GB,Tianjin: Hexi qu,Tianjin: Hexi qu,1,2,,0,19820101,19941231
120104,GB,Tianjin: Nankai qu,Tianjin: Nankai qu,1,2,,0,19820101,19941231
120105,GB,Tianjin: Hebei qu,Tianjin: Hebei qu,1,2,,0,19820101,19941231
120106,GB,Tianjin: Hongqiao qu,Tianjin: Hongqiao qu,1,2,,0,19820101,19941231
120107,GB,Tianjin: Tanggu qu,Tianjin: Tanggu qu,1,2,,0,19820101,19941231
120108,GB,Tianjin: Hangu qu,Tianjin: Hangu qu,1,2,,0,19820101,19941231
120109,GB,Tianjin: Dagang qu,Tianjin: Dagang qu,1,2,,0,19820101,19941231
120110,GB,Tianjin: Dongli qu,Tianjin: Dongli qu,1,2,N,0,19920212,19941231
120110,GB,Tianjin: Dongjiao qu,Tianjin: Dongjiao qu,1,2,,0,19820101,19920211
120111,GB,Tianjin: Xiqing qu,Tianjin: Xiqing qu,1,2,N,0,19920212,19941231
120111,GB,Tianjin: Xijiao qu,Tianjin: Xijiao qu,1,2,,0,19820101,19920211
120112,GB,Tianjin: Jinnan qu,Tianjin: Jinnan qu,1,2,N,0,19920212,19941231
120112,GB,Tianjin: Nanjiao qu,Tianjin: Nanjiao qu,1,2,,0,19820101,19920211
120113,GB,Tianjin: Beichen qu,Tianjin: Beichen qu,1,2,N,0,19920212,19941231
120113,GB,Tianjin: Beijiao qu,Tianjin: Beijiao qu,1,2,,0,19820101,19920211
120200,GB,Tianjin shixiaxian,Tianjin shixiaxian,0,0,,10,19820101,19941231
120221,GB,Ninghe,Ninghe,1,5,,0,19820101,19941231
120222,GB,Wuqing,Wuqing,1,5,,0,19820101,19941231
120223,GB,Jinghai,Jinghai,1,5,,0,19820101,19941231
120224,GB,Baodi,Baodi,1,5,,0,19820101,19941231
120225,GB,Ji xian,Ji xian,1,5,,0,19820101,19941231
130100,GB,Shijiazhuang shi,Shijiazhuang shi,0,0,T,2,19831115,19860404
130100,GB,Shijiazhuang shi,Shijiazhuang shi,0,0,T,2,19860405,19930618
130100,GB,Shijiazhuang shi,Shijiazhuang shi,0,0,,4,19820101,19831114
130100,GB,Shijiazhuang shi,Shijiazhuang shi,0,0,T,2,19930619,19941231
130101,GB,Shijiazhuang shixiaqu,Shijiazhuang shixiaqu,2,1,T,0,19891208,19920529
130101,GB,Shijiazhuang shixiaqu,Shijiazhuang shixiaqu,2,1,T,0,19920530,19941231
130101,GB,Shijiazhuang shixiaqu,Shijiazhuang shixiaqu,2,1,,0,19831115,19891207
130101,GB,Shijiazhuang shixiaqu,Shijiazhuang shixiaqu,4,1,,0,19820101,19831114
130102,GB,Shijiazhuang: Chang`an qu,Shijiazhuang: Chang`an qu,4,2,,0,19820101,19831114
130102,GB,Shijiazhuang: Chang`an qu,Shijiazhuang: Chang`an qu,2,2,,0,19831115,19941231
130103,GB,Shijiazhuang: Qiaodong qu,Shijiazhuang: Qiaodong qu,4,2,,0,19820101,19831114
130103,GB,Shijiazhuang: Qiaodong qu,Shijiazhuang: Qiaodong qu,2,2,,0,19831115,19941231
130104,GB,Shijiazhuang: Qiaoxi qu,Shijiazhuang: Qiaoxi qu,4,2,,0,19820101,19831114
130104,GB,Shijiazhuang: Qiaoxi qu,Shijiazhuang: Qiaoxi qu,2,2,,0,19831115,19941231
130105,GB,Shijiazhuang: Xinhua qu,Shijiazhuang: Xinhua qu,4,2,,0,19820101,19831114
130105,GB,Shijiazhuang: Xinhua qu,Shijiazhuang: Xinhua qu,2,2,,0,19831115,19941231
130106,GB,Shijiazhuang: Jiaoqu,Shijiazhuang: Jiaoqu,4,2,,0,19820101,19831114
130106,GB,Shijiazhuang: Jiaoqu,Shijiazhuang: Jiaoqu,2,2,,0,19831115,19941231
130107,GB,Shijiazhuang: Jingxing Kuangqu,Shijiazhuang: Jingxing Kuangqu,2,2,,0,19831115,19891207
130107,GB,Shijiazhuang: Jingxing Kuangqu,Shijiazhuang: Jingxing Kuangqu,2,2,,0,19920530,19941231
130107,GB,Shijiazhuang: Jingxing Kuangqu,Shijiazhuang: Jingxing Kuangqu,4,2,,0,19820101,19831114
130121,GB,Jingxing,Jingxing,2,5,CH,0,19831115,19891207
130121,GB,Jingxing,Jingxing,2,5,T,0,19891208,19920529
130121,GB,Jingxing,Jingxing,2,5,T,0,19920530,19941231
130122,GB,Huolu,Huolu,2,5,CH,0,19831115,19940517
130123,GB,Zhengding,Zhengding,2,5,CH,0,19861202,19941231
130124,GB,Luancheng,Luancheng,2,5,CH,0,19861202,19941231
130125,GB,Xingtang,Xingtang,2,5,CH,0,19930619,19941231
130126,GB,Lingshou,Lingshou,2,5,CH,0,19930619,19941231
130127,GB,Gaoyi,Gaoyi,2,5,CH,0,19930619,19941231
130128,GB,Shenze,Shenze,2,5,CH,0,19930619,19941231
130129,GB,Zanhuang,Zanhuang,2,5,CH,0,19930619,19941231
130130,GB,Wuji,Wuji,2,5,CH,0,19930619,19941231
130131,GB,Pingshan,Pingshan,2,5,CH,0,19930619,19941231
130132,GB,Yuanshi,Yuanshi,2,5,CH,0,19930619,19941231
130133,GB,Zhao xian,Zhao xian,2,5,CH,0,19930619,19941231
130181,GB,Xinji shi,Xinji shi,9,3,CH,0,19930619,19941231
130182,GB,Gaocheng shi,Gaocheng shi,9,3,CH,0,19930619,19941231
130183,GB,Jinzhou shi,Jinzhou shi,9,3,CH,0,19930619,19941231
130184,GB,Xinle shi,Xinle shi,9,3,CH,0,19930619,19941231
130185,CM,Luquan shi,Luquan shi,9,3,CHNA,0,19940518,19941231
130200,GB,Tangshan shi,Tangshan shi,0,0,T,3,19830303,19941231
130200,GB,Tangshan shi,Tangshan shi,0,0,,5,19820101,19830302
130201,GB,Tangshan shixiaqu,Tangshan shixiaqu,5,1,,0,19820101,19830302
130201,GB,Tangshan shixiaqu,Tangshan shixiaqu,3,1,,0,19830303,19941231
130202,GB,Tangshan: Lunan qu,Tangshan: Lunan qu,3,2,,0,19830303,19941231
130202,GB,Tangshan: Lunan qu,Tangshan: Lunan qu,5,2,,0,19820101,19830302
130203,GB,Tangshan: Lubei qu,Tangshan: Lubei qu,3,2,,0,19830303,19941231
130203,GB,Tangshan: Lubei qu,Tangshan: Lubei qu,5,2,,0,19820101,19830302
130204,GB,Tangshan: Dongkuang qu,Tangshan: Dongkuang qu,3,2,,0,19830303,19941231
130204,GB,Tangshan: Dongkuang qu,Tangshan: Dongkuang qu,5,2,,0,19820101,19830302
130205,GB,Tangshan: Kaiping qu,Tangshan: Kaiping qu,3,2,,0,19830303,19941231
130205,GB,Tangshan: Kaiping qu,Tangshan: Kaiping qu,5,2,,0,19820101,19830302
130206,GB,Tangshan: Xin qu,Tangshan: Xin qu,3,2,,0,19830303,19941231
130206,GB,Tangshan: Xin qu,Tangshan: Xin qu,5,2,,0,19820101,19830302
130221,GB,Fengrun,Fengrun,3,5,CH,0,19830303,19941231
130222,GB,Fengnan,Fengnan,3,5,CH,0,19830303,19940404
130223,GB,Luan xian,Luan xian,3,5,CH,0,19830303,19941231
130224,GB,Luannan,Luannan,3,5,CH,0,19830303,19941231
130225,GB,Leting,Leting,3,5,CH,0,19830303,19941231
130226,GB,Qian`an,Qian`an,3,5,CH,0,19830303,19941231
130227,GB,Qianxi,Qianxi,3,5,CH,0,19830303,19941231
130228,GB,Zunhua,Zunhua,3,5,CH,0,19830303,19920216
130229,GB,Yutian,Yutian,3,5,CH,0,19830303,19941231
130230,GB,Tanghai,Tanghai,3,5,CH,0,19820922,19941231
130281,GB,Zunhua shi,Zunhua shi,9,3,CHA,0,19920217,19941231
130282,CM,Fengnan shi,Fengnan shi,9,3,CHA,0,19940405,19941231
130300,GB,Qinhuangdao shi,Qinhuangdao shi,0,0,T,3,19830505,19941231
130300,GB,Qinhuangdao shi,Qinhuangdao shi,0,0,CHAT,3,19830303,19830504
130301,GB,Qinhuangdao shixiaqu,Qinhuangdao shixiaqu,3,1,,0,19830303,19941231
130302,GB,Qinhuangdao: Haigang qu,Qinhuangdao: Haigang qu,3,2,,0,19830303,19941231
130303,GB,Qinhuangdao: Shanhaiguan qu,Qinhuangdao: Shanhaiguan qu,3,2,,0,19830303,19941231
130304,GB,Qinhuangdao: Beidaihe qu,Qinhuangdao: Beidaihe qu,3,2,,0,19830303,19941231
130305,GB,Qinhuangdao: Jiaoqu,Qinhuangdao: Jiaoqu,3,2,,0,19830303,19861231
130321,GB,Qinglong Manzu zizhixian,Qinglong Manzu zizhixian,3,6,A,0,19861202,19941231
130321,GB,Qinglong,Qinglong,3,5,CH,0,19830505,19861201
130322,GB,Changli,Changli,3,5,CH,0,19830303,19941231
130323,GB,Funing,Funing,3,5,CH,0,19830303,19941231
130324,GB,Lulong,Lulong,3,5,CH,0,19830303,19941231
130400,GB,Handan shi,Handan shi,0,0,CHAT,3,19831115,19860404
130400,GB,Handan shi,Handan shi,0,0,T,3,19860405,19930618
130400,GB,Handan shi,Handan shi,0,0,T,3,19930619,19941231
130401,GB,Handan shixiaqu,Handan shixiaqu,3,1,,0,19831115,19941231
130402,GB,Handan: Hanshan qu,Handan: Hanshan qu,3,2,,0,19831115,19941231
130403,GB,Handan: Congtai qu,Handan: Congtai qu,3,2,,0,19831115,19941231
130404,GB,Handan: Fuxing qu,Handan: Fuxing qu,3,2,,0,19831115,19941231
130405,GB,Handan: Jiaoqu,Handan: Jiaoqu,3,2,,0,19831115,19861202
130406,GB,Handan: Fengfeng Kuangqu,Handan: Fengfeng Kuangqu,3,2,,0,19831115,19941231
130421,GB,Handan,Handan,3,5,CH,0,19831115,19941231
130422,GB,Wu`an,Wu`an,3,5,CH,0,19861202,19880831
130423,GB,Linzhang,Linzhang,3,5,CH,0,19930619,19941231
130424,GB,Cheng`an,Cheng`an,3,5,CH,0,19930619,19941231
130425,GB,Daming,Daming,3,5,CH,0,19930619,19941231
130426,GB,She xian,She xian,3,5,CH,0,19930619,19941231
130427,GB,Ci xian,Ci xian,3,5,CH,0,19930619,19941231
130428,GB,Feixiang,Feixiang,3,5,CH,0,19930619,19941231
130429,GB,Yongnian,Yongnian,3,5,CH,0,19930619,19941231
130430,GB,Qiu xian,Qiu xian,3,5,CH,0,19930619,19941231
130431,GB,Jize,Jize,3,5,CH,0,19930619,19941231
130432,GB,Guangping,Guangping,3,5,CH,0,19930619,19941231
130433,GB,Guantao,Guantao,3,5,CH,0,19930619,19941231
130434,GB,Wei xian,Wei xian,3,5,CH,0,19930619,19941231
130435,GB,Quzhou,Quzhou,3,5,CH,0,19930619,19941231
130481,GB,Wu`an shi,Wu`an shi,9,3,C,0,19910101,19941231
130500,GB,Xingtai shi,Xingtai shi,0,0,T,3,19930619,19941231
130500,GB,Xingtai shi,Xingtai shi,0,0,CHA,5,19831115,19860404
130500,GB,Xingtai shi,Xingtai shi,0,0,T,3,19860405,19930618
130501,GB,Xingtai shixiaqu,Xingtai shixiaqu,5,1,,0,19831115,19860404
130501,GB,Xingtai shixiaqu,Xingtai shixiaqu,3,1,H,0,19860405,19941231
130502,GB,Xingtai: Qiaodong qu,Xingtai: Qiaodong qu,3,2,H,0,19860405,19941231
130502,GB,Xingtai: Qiaodong qu,Xingtai: Qiaodong qu,5,2,,0,19831115,19860404
130503,GB,Xingtai: Qiaoxi qu,Xingtai: Qiaoxi qu,5,2,,0,19831115,19860404
130503,GB,Xingtai: Qiaoxi qu,Xingtai: Qiaoxi qu,3,2,H,0,19860405,19941231
130504,GB,Xingtai: Jiaoqu,Xingtai: Jiaoqu,3,2,H,0,19860405,19880917
130504,GB,Xingtai: Jiaoqu,Xingtai: Jiaoqu,5,2,,0,19831115,19860404
130521,GB,Xingtai,Xingtai,3,5,CH,0,19860405,19941231
130522,GB,Lincheng,Lincheng,3,5,CH,0,19930619,19941231
130523,GB,Neiqiu,Neiqiu,3,5,CH,0,19930619,19941231
130524,GB,Baixiang,Baixiang,3,5,CH,0,19930619,19941231
130525,GB,Longyao,Longyao,3,5,CH,0,19930619,19941231
130526,GB,Ren xian,Ren xian,3,5,CH,0,19930619,19941231
130527,GB,Nanhe,Nanhe,3,5,CH,0,19930619,19941231
130528,GB,Ningjin,Ningjin,3,5,CH,0,19930619,19941231
130529,GB,Julu,Julu,3,5,CH,0,19930619,19941231
130530,GB,Xinhe,Xinhe,3,5,CH,0,19930619,19941231
130531,GB,Guangzong,Guangzong,3,5,CH,0,19930619,19941231
130532,GB,Pingxiang,Pingxiang,3,5,CH,0,19930619,19941231
130533,GB,Wei xian,Wei xian,3,5,CH,0,19930619,19941231
130534,GB,Qinghe,Qinghe,3,5,CH,0,19930619,19941231
130535,GB,Linxi,Linxi,3,5,CH,0,19930619,19941231
130581,GB,Shahe shi,Shahe shi,9,3,CH,0,19930619,19941231
130582,GB,Nangong shi,Nangong shi,9,3,CH,0,19930619,19941231
130600,GB,Baoding shi,Baoding shi,0,0,T,3,19941217,19941231
130600,GB,Baoding shi,Baoding shi,0,0,T,3,19860405,19941216
130600,GB,Baoding shi,Baoding shi,0,0,CHAT,3,19831115,19860404
130601,GB,Baoding shixiaqu,Baoding shixiaqu,3,1,,0,19831115,19941231
130602,GB,Baoding: Xinshi qu,Baoding: Xinshi qu,3,2,,0,19831115,19941231
130603,GB,Baoding: Beishi qu,Baoding: Beishi qu,3,2,,0,19831115,19941231
130604,GB,Baoding: Nanshi qu,Baoding: Nanshi qu,3,2,,0,19831115,19941231
130605,GB,Baoding: Jiaoqu,Baoding: Jiaoqu,3,2,,0,19831115,19871014
130621,GB,Mancheng,Mancheng,3,5,CH,0,19831115,19941231
130622,GB,Qingyuan,Qingyuan,3,5,CH,0,19860405,19941231
130623,CM,Yi xian,Yi xian,3,5,CH,0,19941217,19941231
130624,CM,Xushui,Xushui,3,5,CH,0,19941217,19941231
130625,CM,Laiyuan,Laiyuan,3,5,CH,0,19941217,19941231
130626,CM,Dingxing,Dingxing,3,5,CH,0,19941217,19941231
130627,CM,Shunping,Shunping,3,5,CH,0,19941217,19941231
130628,CM,Tang xian,Tang xian,3,5,CH,0,19941217,19941231
130629,CM,Wangdu,Wangdu,3,5,CH,0,19941217,19941231
130630,CM,Laishui,Laishui,3,5,CH,0,19941217,19941231
130631,CM,Gaoyang,Gaoyang,3,5,CH,0,19941217,19941231
130632,CM,Anxin,Anxin,3,5,CH,0,19941217,19941231
130633,CM,Xiong xian,Xiong xian,3,5,CH,0,19941217,19941231
130634,CM,Rongcheng,Rongcheng,3,5,CH,0,19941217,19941231
130635,CM,Quyang,Quyang,3,5,CH,0,19941217,19941231
130636,CM,Fuping,Fuping,3,5,CH,0,19941217,19941231
130637,CM,Boye,Boye,3,5,CH,0,19941217,19941231
130638,CM,Li xian,Li xian,3,5,CH,0,19941217,19941231
130681,CM,Dingzhou shi,Dingzhou shi,9,3,CH,0,19941217,19941231
130682,CM,Zhuozhou shi,Zhuozhou shi,9,3,CH,0,19941217,19941231
130683,CM,Anguo shi,Anguo shi,9,3,CH,0,19941217,19941231
130684,CM,Gaobeidian shi,Gaobeidian shi,9,3,CH,0,19941217,19941231
130700,GB,Zhangjiakou shi,Zhangjiakou shi,0,0,T,3,19930619,19941231
130700,GB,Zhangjiakou shi,Zhangjiakou shi,0,0,CHA,3,19831115,19930618
130701,GB,Zhangjiakou shixiaqu,Zhangjiakou shixiaqu,3,1,,0,19831115,19891219
